Bezirksregierung,Kreis,Schulform,Schulnummer,Schulname,Sozialindex
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131209,"Witten, GG Bruch",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131210,"Witten, GG Crengeldanzschule",6
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131222,"Witten, GG Rüdinghauser",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131234,"Witten, GG Dorfschule",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131246,"Witten, GG Hellwegschule",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131260,"Witten, GG Hüllbergschule",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131271,"Witten, GG Erlenschule",6
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131283,"Witten, GG Harkort",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131295,"Witten, GG Baedeker",6
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131301,"Witten, GG Borbach",1
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131313,"Witten, GG Gerichtsschule",9
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131325,"Witten, GG Bredde",8
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131337,"Witten, GG Brenschen",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132652,"Breckerfeld, GG Ostring",1
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132706,"Ennepetal, GG Büttenberg",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132718,"Ennepetal, GG (Verb.) Wassermaus",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132720,"Ennepetal, GG Altenvoerde",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132731,"Ennepetal, GG Voerde",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132755,"Ennepetal, KG Kirchstr.",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132779,"Gevelsberg, GG Pestalozzischule",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132780,"Gevelsberg, GG Am Strückerberg",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132792,"Gevelsberg, GG Schnellmark",5
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132810,"Gevelsberg, GG Silschede",1
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132822,"Hattingen, GG Bredenscheid",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132834,"Hattingen, GG Oberwinzerfeld",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132860,"Hattingen, KG Weiltor St.Franzsikus",5
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132883,"Hattingen, GG Heggerfeld",8
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132895,"Hattingen, GG Bruchfeld",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132901,"Hattingen, GG Holthausen",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132937,"Hattingen,GG Niederwenigern Nikol.Groß",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132950,"Hattingen, GG Alt-Blankenstein",1
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132962,"Hattingen, GG Erik-Nölting",6
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132974,"Witten, GG Buchholzer Schule",1
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132986,"Witten, GG Vormholzer Schule",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133000,"Witten, GG Herbeder",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133024,"Herdecke, GG Hugo Knauer",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133036,"Herdecke, GG Schraberg",1
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133048,"Herdecke, GG Robert-Bonnermann-Schule",5
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133050,"Schwelm, GG Nordstadt",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133073,"Schwelm, GG Engelbertstr.",6
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133085,"Schwelm, GG Ländchenweg",5
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133097,"Schwelm, KG St.Marien",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133115,"Sprockhövel, GG Hobeuken",1
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133127,"Sprockhövel, GG Haßlinghausen",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133139,"Sprockhövel, GG Börgersbruch",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133140,"Sprockhövel, GG Gennebreck-Herzkamp",1
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133152,"Wetter, KG St. Rafael",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133164,"Wetter, GG Bergstr.",6
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133176,"Wetter, GG Grundschöttel",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133190,"Wetter, GG (Verb.) Elbschebach",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133206,"Wetter, GG Volmarstein",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,184100,"Witten, GG Pferdebach",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,186557,"Gevelsberg, GG Vogelsang",8
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,191723,"Herdecke, GG Werner Richard",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Hauptschule,148805,"Witten, GH Freiligrath",9
BR Arnsberg,Ennepe-Ruhr-Kreis,Hauptschule,149408,"Gevelsberg, GH Gevelsberg",8
BR Arnsberg,Ennepe-Ruhr-Kreis,Hauptschule,149548,"Sprockhövel, GH Mathilde-Anneke-Schule",7
BR Arnsberg,Ennepe-Ruhr-Kreis,Realschule,163090,"Witten, RS Otto-Schott",5
BR Arnsberg,Ennepe-Ruhr-Kreis,Realschule,163107,"Witten, RS Adolf-Reichwein-Schule",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Realschule,163314,"Gevelsberg, RS Alte Geer",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Realschule,163326,"Hattingen, RS Grünstraße",5
BR Arnsberg,Ennepe-Ruhr-Kreis,Realschule,163340,"Schwelm, RS Dietrich-Bonhoeffer",5
BR Arnsberg,Ennepe-Ruhr-Kreis,Realschule,185863,"Herdecke, RS Am Bleichstein",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Realschule,194141,"Witten, RS Helene-Lohmann-Realschule",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Sekundarschule,197026,"Wetter, SK Schule am See",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Sekundarschule,198043,"Ennepetal, SK Amselweg",5
BR Arnsberg,Ennepe-Ruhr-Kreis,Gesamtschule,100153,"Witten, GE Otto-Schott-Gesamtschule",5
BR Arnsberg,Ennepe-Ruhr-Kreis,Gesamtschule,188141,"Witten, GE Holzkamp",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Gesamtschule,188153,"Witten, GE Hardenstein",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Gesamtschule,189558,"Sprockhövel, GE Wilhelm-Kraft",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Gesamtschule,190007,"Hattingen, GE Marxstr.",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169717,"Witten, Gym Schiller",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169729,"Witten, Gym Ruhr",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169730,"Witten, Gym Albert-Martmöller",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169950,"Ennepetal, Gym Reichenbach",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169961,"Gevelsberg, Gym Gevelsberg",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169973,"Hattingen, Gym Schulzentrum Holthausen",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169985,"Hattingen, Gym Waldstraße",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169997,"Herdecke, Gym Friedrich-Harkort-Schule",1
BR Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,170008,"Schwelm, Gym Märkisches",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,170010,"Wetter, Gym Geschwister-Scholl",1
BR Arnsberg,Hochsauerlandkreis,Grundschule,124825,"Marsberg, GG Egge-Diemel-Schule",3
BR Arnsberg,Hochsauerlandkreis,Grundschule,131854,"Arnsberg, GG Norbertusschule",6
BR Arnsberg,Hochsauerlandkreis,Grundschule,131866,"Arnsberg, KG Kath. Johannesschule",4
BR Arnsberg,Hochsauerlandkreis,Grundschule,131878,"Arnsberg, GG (Verb.) Regenbogen",2
BR Arnsberg,Hochsauerlandkreis,Grundschule,131880,"Arnsberg, GG Adolf-Sauer-Schule",4
BR Arnsberg,Hochsauerlandkreis,Grundschule,131891,"Arnsberg, GG Moosfelde",7
BR Arnsberg,Hochsauerlandkreis,Grundschule,131910,"Arnsberg, KG Röhr",5
BR Arnsberg,Hochsauerlandkreis,Grundschule,131921,"Arnsberg, GG Mühlenberg",4
BR Arnsberg,Hochsauerlandkreis,Grundschule,131933,"Arnsberg, GG Graf-Gottfried-Schule",3
BR Arnsberg,Hochsauerlandkreis,Grundschule,131945,"Arnsberg, GG Rote Schule",6
BR Arnsberg,Hochsauerlandkreis,Grundschule,131957,"Arnsberg, KG St.Josef-Bergheim",2
BR Arnsberg,Hochsauerlandkreis,Grundschule,132020,"Meschede, KG (Verb.) St. Nikolaus-Schule",2
BR Arnsberg,Hochsauerlandkreis,Grundschule,132044,"Arnsberg, KG Dinschede",2
BR Arnsberg,Hochsauerlandkreis,Grundschule,132068,"Arnsberg, KG Rodentelgenschule",5
BR Arnsberg,Hochsauerlandkreis,Grundschule,132081,"Sundern, KG Hachen",3
BR Arnsberg,Hochsauerlandkreis,Grundschule,132093,"Arnsberg,KG (Verb.)Kath. Heinrich-Knoche",1
BR Arnsberg,Hochsauerlandkreis,Grundschule,132135,"Arnsberg, KG Müschede",2
BR Arnsberg,Hochsauerlandkreis,Grundschule,132160,"Arnsberg, KG Urbanus",1
BR Arnsberg,Hochsauerlandkreis,Grundschule,132172,"Sundern, KG Allendorf",1
BR Arnsberg,Hochsauerlandkreis,Grundschule,132202,"Sundern, KG Sebastianschule",2
BR Arnsberg,Hochsauerlandkreis,Grundschule,132214,"Sundern, KG Johannes",3
BR Arnsberg,Hochsauerlandkreis,Grundschule,132226,"Sundern, KG (Verb.) Marienschule",2
BR Arnsberg,Hochsauerlandkreis,Grundschule,132299,"Brilon, KG St.Engelbert-Schule",4
BR Arnsberg,Hochsauerlandkreis,Grundschule,132317,"Brilon, KG Ratmerstein",2
BR Arnsberg,Hochsauerlandkreis,Grundschule,132342,"Winterberg, KG Am Postteich",4
BR Arnsberg,Hochsauerlandkreis,Grundschule,132366,"Medebach, GG (Verb.) Hanse",3
BR Arnsberg,Hochsauerlandkreis,Grundschule,132408,"Olsberg, KG Kardinal-von-Galen-Schule",2
BR Arnsberg,Hochsauerlandkreis,Grundschule,132410,"Olsberg, KG St.Martinus-Schule",3
BR Arnsberg,Hochsauerlandkreis,Grundschule,132433,"Olsberg, KG Franziskus",1
BR Arnsberg,Hochsauerlandkreis,Grundschule,132457,"Winterberg, KG St.Josef",3
BR Arnsberg,Hochsauerlandkreis,Grundschule,132470,"Hallenberg, KG Elbersbach",2
BR Arnsberg,Hochsauerlandkreis,Grundschule,132524,"Marsberg,GG Naturparkgrundschule Giersh.",1
BR Arnsberg,Hochsauerlandkreis,Grundschule,132550,"Marsberg, KG Schule am Burghof",4
BR Arnsberg,Hochsauerlandkreis,Grundschule,132573,"Winterberg, KG Niedersfeld",2
BR Arnsberg,Hochsauerlandkreis,Grundschule,132640,"Brilon, KG (Verb.) Thülen-Alme-Hoppecke",2
BR Arnsberg,Hochsauerlandkreis,Grundschule,133930,"Meschede, KG St. Johannes-Schule",1
BR Arnsberg,Hochsauerlandkreis,Grundschule,133954,"Bestwig, GG am Sengenberg",3
BR Arnsberg,Hochsauerlandkreis,Grundschule,133966,"Bestwig, GG Wilhelmine-Lübke",2
BR Arnsberg,Hochsauerlandkreis,Grundschule,133978,"Bestwig, GG Andreas",5
BR Arnsberg,Hochsauerlandkreis,Grundschule,133980,"Eslohe, KG (Verb.) Raphael-Schule",2
BR Arnsberg,Hochsauerlandkreis,Grundschule,134028,"Schmallenberg, KG Berghausen",1
BR Arnsberg,Hochsauerlandkreis,Grundschule,134030,"Schmallenberg, GG Bödefeld",2
BR Arnsberg,Hochsauerlandkreis,Grundschule,134065,"Schmallenberg, KG Bad Fredeburg",3
BR Arnsberg,Hochsauerlandkreis,Grundschule,134089,"Meschede, KG Luziaschule Berge",2
BR Arnsberg,Hochsauerlandkreis,Grundschule,134119,"Meschede, KG Marienschule",4
BR Arnsberg,Hochsauerlandkreis,Grundschule,134132,"Meschede,KG(Verb.)Schule u.d.Regenbogen",4
BR Arnsberg,Hochsauerlandkreis,Grundschule,134156,"Schmallenberg, KG Fleckenberg",2
BR Arnsberg,Hochsauerlandkreis,Grundschule,134181,"Schmallenberg, KG St.Michael",1
BR Arnsberg,Hochsauerlandkreis,Grundschule,134211,"Schmallenberg, GG (Verb.) Ringstraße",3
BR Arnsberg,Hochsauerlandkreis,Grundschule,185048,"Arnsberg, GG Müggenberg/Rusch",4
BR Arnsberg,Hochsauerlandkreis,Hauptschule,149135,"Arnsberg, KH Grimme",6
BR Arnsberg,Hochsauerlandkreis,Hauptschule,149172,"Meschede, GH Konrad-Adenauer",3
BR Arnsberg,Hochsauerlandkreis,Hauptschule,149214,"Sundern, GH Sundern",4
BR Arnsberg,Hochsauerlandkreis,Hauptschule,149913,"Eslohe, GH Christine-Koch",2
BR Arnsberg,Hochsauerlandkreis,Hauptschule,149949,"Meschede, KH St.Walburga-Schule",4
BR Arnsberg,Hochsauerlandkreis,Hauptschule,149950,"Schmallenberg, GH Schule am Wilzenberg",2
BR Arnsberg,Hochsauerlandkreis,Realschule,163211,"Arnsberg, RS Hüsten",3
BR Arnsberg,Hochsauerlandkreis,Realschule,163247,"Sundern, RS Rotbuschweg",2
BR Arnsberg,Hochsauerlandkreis,Realschule,163480,"Eslohe, RS Schulstr.",1
BR Arnsberg,Hochsauerlandkreis,Realschule,163491,"Schmallenberg, RS Erich Kästner",1
BR Arnsberg,Hochsauerlandkreis,Realschule,163510,"Meschede, RS August-Macke",2
BR Arnsberg,Hochsauerlandkreis,Sekundarschule,100022,"Medebach, SK Medebach-Winterberg",2
BR Arnsberg,Hochsauerlandkreis,Sekundarschule,197129,"Olsberg, SK Olsberg-Bestwig",3
BR Arnsberg,Hochsauerlandkreis,Sekundarschule,198018,"Arnsberg, SK am Eichholz",5
BR Arnsberg,Hochsauerlandkreis,Sekundarschule,198020,"Arnsberg, SK Agnes-Wenke-Schule",5
BR Arnsberg,Hochsauerlandkreis,Sekundarschule,198778,"Brilon, SK Heinrich-Lübke-Schule",3
BR Arnsberg,Hochsauerlandkreis,Sekundarschule,198833,"Marsberg, SK Schule am Eresberg",3
BR Arnsberg,Hochsauerlandkreis,Gymnasium,169833,"Arnsberg, Gym Laurentianum",3
BR Arnsberg,Hochsauerlandkreis,Gymnasium,169894,"Sundern, Gym Berliner Str.",1
BR Arnsberg,Hochsauerlandkreis,Gymnasium,169912,"Brilon, Gym Petrinum",1
BR Arnsberg,Hochsauerlandkreis,Gymnasium,169924,"Winterberg, Gym Geschwister-Scholl",1
BR Arnsberg,Hochsauerlandkreis,Gymnasium,169948,"Marsberg, Gym Carolus-Magnus",1
BR Arnsberg,Hochsauerlandkreis,Gymnasium,170197,"Meschede, Gym Schederweg",2
BR Arnsberg,Hochsauerlandkreis,Gymnasium,170215,"Schmallenberg, Gym Obringhauser Straße",1
BR Arnsberg,Hochsauerlandkreis,Gymnasium,194670,"Arnsberg, Gym Franz-Stock",2
BR Arnsberg,Kreis Olpe,Grundschule,134247,"Attendorn, GG Ennest",3
BR Arnsberg,Kreis Olpe,Grundschule,134259,"Attendorn, KG Marienschule",1
BR Arnsberg,Kreis Olpe,Grundschule,134260,"Attendorn, KG (Verb.) Sonnenschule",3
BR Arnsberg,Kreis Olpe,Grundschule,134296,"Drolshagen, KG (Verb.)Gräfin-Sayn-Schule",2
BR Arnsberg,Kreis Olpe,Grundschule,134387,"Finnentrop,GG(Verb.)Lennetal-Bameno.Rönk",4
BR Arnsberg,Kreis Olpe,Grundschule,134399,"Finnentrop, GG Heggen",3
BR Arnsberg,Kreis Olpe,Grundschule,134405,"Finnentrop, KG (Verb.) St. Matthias",2
BR Arnsberg,Kreis Olpe,Grundschule,134417,"Kirchhundem, GG Welschen Ennest",3
BR Arnsberg,Kreis Olpe,Grundschule,134429,"Kirchhundem, GG St. Katharina",3
BR Arnsberg,Kreis Olpe,Grundschule,134454,"Kirchhundem, GG am Kreuzberg",2
BR Arnsberg,Kreis Olpe,Grundschule,134480,"Lennestadt, KG (Verb.) St.-Agatha-Schule",4
BR Arnsberg,Kreis Olpe,Grundschule,134521,"Lennestadt, KG (Verb.) Oene-Elspe-Tal",3
BR Arnsberg,Kreis Olpe,Grundschule,134533,"Lennestadt, GG Marienschule",2
BR Arnsberg,Kreis Olpe,Grundschule,134569,"Lennestadt, GG St. Nikolaus",5
BR Arnsberg,Kreis Olpe,Grundschule,134570,"Lennestadt, KG (Verb.) Franziskus-Schule",5
BR Arnsberg,Kreis Olpe,Grundschule,134582,"Olpe, KG Franz-Hitze-Schule",1
BR Arnsberg,Kreis Olpe,Grundschule,134600,"Olpe, KG (Verb.) Düringerschule",2
BR Arnsberg,Kreis Olpe,Grundschule,134648,"Olpe, GG Olpe am Hohenstein",4
BR Arnsberg,Kreis Olpe,Grundschule,134661,"Wenden, KG Gerlingen",2
BR Arnsberg,Kreis Olpe,Grundschule,134685,"Wenden, GG Hünsborn",2
BR Arnsberg,Kreis Olpe,Grundschule,134703,"Wenden, KG (Verb.) Wendener Land",2
BR Arnsberg,Kreis Olpe,Grundschule,183970,"Attendorn, GG (Verb.) Attandara-Schule",5
BR Arnsberg,Kreis Olpe,Grundschule,194657,"Olpe, KG Auf dem Gallenberg",2
BR Arnsberg,Kreis Olpe,Realschule,163569,"Lennestadt, RS Lessingschule",1
BR Arnsberg,Kreis Olpe,Sekundarschule,196988,"Attendorn, SK Hanseschule",4
BR Arnsberg,Kreis Olpe,Sekundarschule,198092,"Olpe, SK Quellenweg",2
BR Arnsberg,Kreis Olpe,Sekundarschule,198821,"Lennestadt, SK Hundem-Lenne",2
BR Arnsberg,Kreis Olpe,Gesamtschule,197142,"Finnentrop, GE Bigge-Lenne",3
BR Arnsberg,Kreis Olpe,Gesamtschule,198006,"Wenden, GE Peter-Dassis-Ring",2
BR Arnsberg,Kreis Olpe,Gymnasium,170239,"Attendorn, Gym Rivius",2
BR Arnsberg,Kreis Olpe,Gymnasium,170240,"Lennestadt, Gym Am Biertappen",2
BR Arnsberg,Kreis Olpe,Gymnasium,170276,"Olpe, Gym Seminarstr.",1
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,134727,"Hilchenbach, GG Florenburg-Schule",2
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,134739,"Hilchenbach, GG Müsen",3
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,134764,"Siegen, GG (Verb.) auf dem Hubenfeld",3
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,134790,"Siegen, GG (Verb.) Eiserfeld",4
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,134831,"Siegen, GG Friedrich-Flender-Schule",6
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,134843,"Siegen, GG Birlenbacherschule",5
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,134855,"Siegen, GG Albert-Schweitzer-Schule",8
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,134867,"Siegen, GG Glückaufschule",4
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,134879,"Siegen, GG Geisweider",7
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,134892,"Siegen, GG Jung-Stilling-Schule",3
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,134909,"Siegen, GG Sonnenhangschule",2
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,134910,"Siegen, GG Diesterwegschule",6
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,134922,"Siegen, GG Montessori am Lindenberg",5
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,134934,"Siegen, GG Giersbergschule",6
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,134946,"Siegen, GG Kaan-Marienborn",3
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,134960,"Siegen, KG Hammerhütter",5
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,134971,"Siegen, GG Spandauer",6
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,134995,"Siegen, GG Obenstruth",7
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,135008,"Siegen, GG Nordschule",9
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,135033,"Burbach, GG Marktplatz",4
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,135045,"Freudenberg, GG Alchen",2
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,135057,"Freudenberg, GG Büschergrund",2
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,135069,"Freudenberg, GG Am Alten Flecken",2
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,135070,"Freudenberg, GG Oberfischbach",2
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,135094,"Kreuztal, GG Bodelschwingh Schule",6
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,135100,"Kreuztal, GG (Verb.) Adolf-Wurmbach",3
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,135112,"Kreuztal, GG Fellinghausen",3
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,135124,"Kreuztal, GG Jung-Stilling-Schule",3
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,135136,"Kreuztal, KG St. Martin-Schule",3
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,135148,"Kreuztal,GG an Dreslers Park",9
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,135161,"Neunkirchen, GG Salchendorf",5
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,135185,"Neunkirchen, GG Kopernikus",4
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,135197,"Netphen, GG Johannlandschule",1
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,135215,"Netphen, GG (Verb.) Frohnhausener Str.",3
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,135240,"Netphen, GG Deuz",4
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,135264,"Netphen, GG (Verb.) Dreisbachtalschule",3
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,135288,"Wilnsdorf, GG Vorm Brand",2
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,135290,"Wilnsdorf, GG Wilgersdorf",2
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,135331,"Wilnsdorf, GG Dielfen",2
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,135343,"Wilnsdorf, KG Rudersdorf",3
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,136074,"Bad Berleburg, GG Burgfeld",4
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,136086,"Bad Berleburg, GG Im Odeborntal",2
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,136098,"Bad Laasphe, GG (Verb.) Bahnhofstraße",3
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,136104,"Bad Berleburg, GG Aue-Wingeshausen",2
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,136128,"Bad Berleburg, GG (Verb.) Edertalschule",1
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,136153,"Bad Berleburg, GG Unterm Heiligenberg",1
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,136189,"Erndtebrück, GG Schulstr.",2
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,136190,"Bad Laasphe, GG Banfe",2
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,136207,"Bad Laasphe, GG Feudingen",1
BR Arnsberg,Kreis Siegen-Wittgenstein,Grundschule,193598,"Burbach, GG (Verb.) Hickengrund",3
BR Arnsberg,Kreis Siegen-Wittgenstein,Hauptschule,150228,"Siegen, GH Achenbacher Schule",6
BR Arnsberg,Kreis Siegen-Wittgenstein,Hauptschule,150447,"Wilnsdorf, GH Dillenburger Str.",4
BR Arnsberg,Kreis Siegen-Wittgenstein,Hauptschule,150800,"Bad Berleburg,GH L.-zu-Sayn-Wittgenstein",2
BR Arnsberg,Kreis Siegen-Wittgenstein,Realschule,163582,"Siegen, RS Auf der Morgenröthe",4
BR Arnsberg,Kreis Siegen-Wittgenstein,Realschule,163600,"Siegen, RS Am Oberen Schloss",7
BR Arnsberg,Kreis Siegen-Wittgenstein,Realschule,163648,"Kreuztal, RS Ernst-Moritz-Arndt",3
BR Arnsberg,Kreis Siegen-Wittgenstein,Realschule,163776,"Bad Berleburg, RS Hermann-Böttger-Weg",1
BR Arnsberg,Kreis Siegen-Wittgenstein,Realschule,163790,"Erndtebrück, RS Ederfeldstr.",1
BR Arnsberg,Kreis Siegen-Wittgenstein,Realschule,184457,"Wilnsdorf, RS Wilnsdorf",1
BR Arnsberg,Kreis Siegen-Wittgenstein,Realschule,194839,"Hilchenbach, RS Carl-Kraemer",2
BR Arnsberg,Kreis Siegen-Wittgenstein,Sekundarschule,197014,"Netphen, SK Anita-Ruth-Faber",3
BR Arnsberg,Kreis Siegen-Wittgenstein,Sekundarschule,199795,"Burbach, SK Gem.SK.Burbach-Neunkirchen",3
BR Arnsberg,Kreis Siegen-Wittgenstein,Gesamtschule,100175,"Siegen, GE Am Rosterberg",ohne
BR Arnsberg,Kreis Siegen-Wittgenstein,Gesamtschule,190019,"Siegen, GE Bertha-v.-Suttner-Gesamtschul",5
BR Arnsberg,Kreis Siegen-Wittgenstein,Gesamtschule,191036,"Siegen, GE Eiserfeld",3
BR Arnsberg,Kreis Siegen-Wittgenstein,Gesamtschule,191826,"Kreuztal, GE Clara-Schumann-Schule",5
BR Arnsberg,Kreis Siegen-Wittgenstein,Gesamtschule,198110,"Freudenberg, GE Esther-Bejarano",2
BR Arnsberg,Kreis Siegen-Wittgenstein,Gesamtschule,199813,"Siegen, GE Auf dem Schießberg",6
BR Arnsberg,Kreis Siegen-Wittgenstein,Gymnasium,170306,"Siegen, Gym Auf der Morgenröthe",2
BR Arnsberg,Kreis Siegen-Wittgenstein,Gymnasium,170320,"Siegen, Gym Fürst-Johann-Moritz",3
BR Arnsberg,Kreis Siegen-Wittgenstein,Gymnasium,170331,"Siegen, Gym Am Löhrtor",2
